CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,High Yield,Interest Rate
912810TN8,Bond,30-Year,02/09/2023,02/15/2023,02/15/2053,98.898317,0.03686,0.036250
91282CGM7,Note,10-Year,02/08/2023,02/15/2023,02/15/2033,99.058658,0.03613,0.035000
91282CGL9,Note,3-Year,02/07/2023,02/15/2023,02/15/2026,99.795799,0.04073,0.040000
91282CGJ4,Note,7-Year,01/26/2023,01/31/2023,01/31/2030,99.895326,0.03517,0.035000
91282CGH8,Note,5-Year,01/25/2023,01/31/2023,01/31/2028,99.863589,0.03530,0.035000
91282CGG0,Note,2-Year,01/24/2023,01/31/2023,01/31/2025,99.973391,0.04139,0.041250
91282CGK1,Note,10-Year,01/19/2023,01/31/2023,01/15/2033,99.060103,0.01220,0.011250
91282CGE5,Note,3-Year,01/10/2023,01/17/2023,01/15/2026,99.714294,0.03977,0.038750
91282CGB1,Note,7-Year,12/29/2022,01/03/2023,12/31/2029,99.720458,0.03921,0.038750
91282CGC9,Note,5-Year,12/28/2022,01/03/2023,12/31/2027,99.559582,0.03973,0.038750
91282CGD7,Note,2-Year,12/27/2022,01/03/2023,12/31/2024,99.767054,0.04373,0.042500
91282CGA3,Note,3-Year,12/12/2022,12/15/2022,12/15/2025,99.739942,0.04093,0.040000
91282CFY2,Note,7-Year,11/22/2022,11/30/2022,11/30/2029,99.908851,0.03890,0.038750
91282CFX4,Note,2-Year,11/21/2022,11/30/2022,11/30/2024,99.990539,0.04505,0.045000
91282CFZ9,Note,5-Year,11/21/2022,11/30/2022,11/30/2027,99.555059,0.03974,0.038750
912810TM0,Bond,20-Year,11/16/2022,11/30/2022,11/15/2042,99.019661,0.04072,0.040000
912810TL2,Bond,30-Year,11/10/2022,11/15/2022,11/15/2052,98.622933,0.04080,0.040000
91282CFV8,Note,10-Year,11/09/2022,11/15/2022,11/15/2032,99.878189,0.04140,0.041250
91282CFW6,Note,3-Year,11/08/2022,11/15/2022,11/15/2025,99.708904,0.04605,0.045000
91282CFT3,Note,7-Year,10/27/2022,10/31/2022,10/31/2029,99.836721,0.04027,0.040000
91282CFU0,Note,5-Year,10/26/2022,10/31/2022,10/31/2027,99.700589,0.04192,0.041250
91282CFQ9,Note,2-Year,10/25/2022,10/31/2022,10/31/2024,99.839071,0.04460,0.043750
91282CFR7,Note,5-Year,10/20/2022,10/31/2022,10/15/2027,99.475435,0.01732,0.016250
91282CFP1,Note,3-Year,10/11/2022,10/17/2022,10/15/2025,99.810402,0.04318,0.042500
