Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
09/09/2024,5.03,5.12,5.02,5.13,4.89,5.02,4.78,4.92,4.53,4.70,3.95,4.13
09/06/2024,5.06,5.15,5.04,5.15,4.93,5.06,4.79,4.93,4.56,4.73,3.93,4.11
09/05/2024,5.08,5.17,5.04,5.15,4.94,5.07,4.80,4.95,4.59,4.76,4.02,4.20
09/04/2024,5.11,5.20,5.08,5.19,4.96,5.09,4.81,4.96,4.60,4.77,4.04,4.23
09/03/2024,5.16,5.25,5.10,5.21,4.97,5.10,4.88,5.03,4.65,4.83,4.15,4.34
08/30/2024,5.18,5.27,5.11,5.22,4.98,5.11,4.88,5.03,4.69,4.87,4.23,4.42
08/29/2024,5.18,5.27,5.10,5.21,4.98,5.11,4.88,5.03,4.68,4.86,4.23,4.42
08/28/2024,5.23,5.32,5.13,5.24,4.96,5.09,4.88,5.03,4.66,4.84,4.21,4.40
08/27/2024,5.24,5.33,5.13,5.24,4.98,5.11,4.92,5.07,4.67,4.85,4.19,4.38
08/26/2024,5.24,5.33,5.14,5.25,4.98,5.11,4.93,5.08,4.69,4.87,4.22,4.41
08/23/2024,5.25,5.34,5.13,5.24,5.01,5.14,4.92,5.07,4.71,4.89,4.19,4.38
08/22/2024,5.24,5.33,5.13,5.24,5.04,5.18,4.93,5.08,4.74,4.92,4.26,4.46
08/21/2024,5.21,5.30,5.12,5.23,5.02,5.16,4.91,5.06,4.70,4.88,4.19,4.38
08/20/2024,5.23,5.32,5.15,5.26,5.04,5.18,4.97,5.12,4.74,4.92,4.25,4.45
08/19/2024,5.26,5.35,5.17,5.28,5.06,5.20,4.99,5.14,4.77,4.96,4.30,4.50
08/16/2024,5.27,5.37,5.17,5.28,5.08,5.21,4.99,5.14,4.80,4.98,4.30,4.50
08/15/2024,5.26,5.35,5.18,5.29,5.09,5.23,5.00,5.15,4.82,5.01,4.33,4.54
08/14/2024,5.24,5.33,5.17,5.28,5.07,5.21,4.98,5.13,4.77,4.96,4.23,4.43
