Date,"4 WEEKS BANK DISCOUNT","4 WEEKS COUPON EQUIVALENT","8 WEEKS BANK DISCOUNT","8 WEEKS COUPON EQUIVALENT","13 WEEKS BANK DISCOUNT","13 WEEKS COUPON EQUIVALENT","17 WEEKS BANK DISCOUNT","17 WEEKS COUPON EQUIVALENT","26 WEEKS BANK DISCOUNT","26 WEEKS COUPON EQUIVALENT","52 WEEKS BANK DISCOUNT","52 WEEKS COUPON EQUIVALENT"
08/13/2024,5.23,5.32,5.17,5.28,5.06,5.20,4.98,5.13,4.75,4.93,4.21,4.41
08/12/2024,5.27,5.37,5.18,5.29,5.07,5.21,4.99,5.14,4.79,4.98,4.27,4.47
08/09/2024,5.28,5.38,5.18,5.29,5.09,5.22,5.00,5.15,4.80,4.98,4.29,4.49
08/08/2024,5.29,5.39,5.19,5.30,5.09,5.23,4.99,5.14,4.79,4.98,4.28,4.49
08/07/2024,5.25,5.34,5.21,5.32,5.09,5.23,4.98,5.13,4.77,4.96,4.24,4.44
08/06/2024,5.24,5.33,5.21,5.32,5.09,5.23,4.98,5.13,4.77,4.96,4.25,4.45
08/05/2024,5.26,5.35,5.21,5.33,5.09,5.23,4.94,5.09,4.69,4.87,4.20,4.39
08/02/2024,5.27,5.37,5.20,5.32,5.05,5.18,4.92,5.07,4.68,4.86,4.18,4.37
08/01/2024,5.28,5.38,5.23,5.35,5.12,5.26,5.05,5.21,4.85,5.04,4.44,4.65
07/31/2024,5.28,5.37,5.26,5.38,5.15,5.29,5.09,5.25,4.91,5.10,4.55,4.77
07/30/2024,5.29,5.38,5.26,5.38,5.14,5.28,5.11,5.27,4.92,5.12,4.58,4.80
07/29/2024,5.29,5.39,5.27,5.39,5.15,5.29,5.11,5.27,4.94,5.14,4.59,4.81
07/26/2024,5.28,5.38,5.26,5.38,5.16,5.30,5.11,5.27,4.95,5.14,4.59,4.81
07/25/2024,5.29,5.39,5.26,5.38,5.17,5.31,5.11,5.27,4.95,5.15,4.62,4.85
07/24/2024,5.29,5.38,5.27,5.39,5.18,5.32,5.12,5.28,4.96,5.16,4.62,4.85
07/23/2024,5.28,5.37,5.27,5.39,5.18,5.32,5.13,5.29,4.98,5.18,4.65,4.88
07/22/2024,5.28,5.38,5.27,5.39,5.19,5.33,5.14,5.30,5.00,5.20,4.66,4.89
07/19/2024,5.28,5.38,5.26,5.38,5.20,5.34,5.14,5.30,5.00,5.20,4.65,4.88
07/18/2024,5.27,5.37,5.26,5.38,5.21,5.35,5.14,5.30,5.00,5.20,4.64,4.87
07/17/2024,5.25,5.34,5.26,5.38,5.20,5.34,5.14,5.30,4.99,5.19,4.62,4.85
07/16/2024,5.27,5.36,5.26,5.38,5.20,5.34,5.15,5.31,4.99,5.19,4.62,4.85
07/15/2024,5.28,5.38,5.26,5.38,5.20,5.34,5.15,5.31,4.99,5.19,4.62,4.85
07/12/2024,5.27,5.37,5.26,5.38,5.21,5.35,5.15,5.31,5.00,5.20,4.64,4.87
07/11/2024,5.28,5.38,5.27,5.39,5.21,5.35,5.16,5.32,5.01,5.21,4.67,4.91
07/10/2024,5.24,5.33,5.24,5.35,5.23,5.37,5.20,5.36,5.09,5.30,4.76,5.01
07/09/2024,5.24,5.33,5.25,5.37,5.23,5.37,5.20,5.36,5.09,5.30,4.77,5.02
07/08/2024,5.27,5.37,5.27,5.39,5.23,5.37,5.20,5.36,5.08,5.29,4.78,5.02
07/05/2024,5.28,5.38,5.27,5.39,5.23,5.37,5.20,5.36,5.09,5.29,4.77,5.01
07/03/2024,5.28,5.38,5.27,5.39,5.24,5.38,5.20,5.36,5.11,5.32,4.82,5.06
07/02/2024,5.28,5.37,5.27,5.39,5.24,5.38,5.21,5.37,5.11,5.32,4.85,5.10
07/01/2024,5.28,5.38,5.27,5.39,5.24,5.38,5.22,5.39,5.12,5.33,4.87,5.12
06/28/2024,5.27,5.37,5.27,5.39,5.22,5.36,5.22,5.39,5.11,5.32,4.86,5.11
06/27/2024,5.27,5.37,5.26,5.38,5.23,5.37,5.22,5.39,5.12,5.33,4.87,5.12
06/26/2024,5.24,5.33,5.25,5.37,5.24,5.38,5.22,5.39,5.14,5.35,4.89,5.14
06/25/2024,5.23,5.32,5.25,5.37,5.23,5.37,5.22,5.38,5.14,5.35,4.86,5.11
06/24/2024,5.22,5.31,5.25,5.37,5.24,5.38,5.22,5.39,5.14,5.35,4.86,5.11
06/21/2024,5.22,5.31,5.26,5.38,5.23,5.37,5.22,5.39,5.14,5.35,4.86,5.11
06/20/2024,5.22,5.31,5.26,5.38,5.24,5.38,5.22,5.39,5.15,5.36,4.86,5.11
06/18/2024,5.20,5.29,5.25,5.37,5.24,5.38,5.22,5.38,5.15,5.36,4.84,5.09
06/17/2024,5.25,5.34,5.27,5.39,5.25,5.39,5.23,5.40,5.16,5.37,4.86,5.11
06/14/2024,5.26,5.35,5.26,5.38,5.25,5.39,5.22,5.39,5.14,5.35,4.81,5.06
06/13/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.22,5.39,5.14,5.35,4.82,5.07
06/12/2024,5.26,5.35,5.26,5.38,5.25,5.39,5.24,5.41,5.15,5.36,4.87,5.13
06/11/2024,5.26,5.35,5.26,5.38,5.25,5.39,5.23,5.40,5.16,5.37,4.90,5.16
06/10/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.24,5.41,5.17,5.38,4.93,5.18
06/07/2024,5.27,5.37,5.27,5.39,5.26,5.40,5.24,5.41,5.17,5.38,4.94,5.19
06/06/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.22,5.39,5.14,5.35,4.85,5.09
06/05/2024,5.28,5.37,5.28,5.40,5.25,5.39,5.22,5.39,5.14,5.35,4.86,5.11
06/04/2024,5.28,5.37,5.27,5.39,5.25,5.39,5.22,5.38,5.15,5.36,4.88,5.13
06/03/2024,5.28,5.38,5.28,5.40,5.26,5.40,5.23,5.40,5.16,5.37,4.90,5.15
05/31/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.23,5.40,5.17,5.38,4.94,5.19
05/30/2024,5.28,5.38,5.28,5.40,5.26,5.40,5.24,5.41,5.17,5.38,4.95,5.21
05/29/2024,5.27,5.36,5.28,5.40,5.26,5.40,5.24,5.41,5.17,5.38,4.97,5.23
05/28/2024,5.27,5.36,5.28,5.40,5.26,5.40,5.25,5.42,5.18,5.39,4.96,5.22
05/24/2024,5.32,5.42,5.32,5.44,5.26,5.40,5.25,5.42,5.18,5.39,4.95,5.21
05/23/2024,5.27,5.37,5.28,5.40,5.26,5.40,5.25,5.42,5.18,5.39,4.94,5.20
05/22/2024,5.26,5.35,5.28,5.40,5.25,5.39,5.24,5.41,5.17,5.38,4.91,5.17
05/21/2024,5.27,5.36,5.27,5.39,5.25,5.39,5.24,5.41,5.16,5.37,4.88,5.14
05/20/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.24,5.41,5.17,5.38,4.89,5.15
05/17/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.24,5.41,5.16,5.37,4.88,5.14
05/16/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.27,5.44,5.16,5.37,4.87,5.13
05/15/2024,5.26,5.35,5.26,5.38,5.25,5.39,5.24,5.41,5.15,5.36,4.84,5.10
05/14/2024,5.27,5.36,5.28,5.40,5.24,5.38,5.24,5.41,5.17,5.38,4.89,5.15
05/13/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.24,5.41,5.17,5.38,4.93,5.18
05/10/2024,5.27,5.37,5.27,5.39,5.26,5.40,5.24,5.41,5.17,5.38,4.93,5.18
05/09/2024,5.27,5.37,5.28,5.40,5.25,5.39,5.24,5.41,5.15,5.36,4.90,5.15
05/08/2024,5.28,5.37,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.90,5.15
05/07/2024,5.28,5.37,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.90,5.15
05/06/2024,5.28,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.89,5.14
05/03/2024,5.28,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.88,5.13
05/02/2024,5.27,5.37,5.27,5.39,5.25,5.39,5.24,5.41,5.16,5.37,4.92,5.17
05/01/2024,5.26,5.35,5.28,5.40,5.26,5.40,5.24,5.41,5.17,5.38,4.96,5.22
04/30/2024,5.28,5.37,5.28,5.40,5.25,5.39,5.25,5.42,5.18,5.39,4.99,5.25
04/29/2024,5.28,5.38,5.28,5.40,5.25,5.39,5.25,5.42,5.17,5.38,4.95,5.21
04/26/2024,5.28,5.38,5.27,5.39,5.25,5.39,5.25,5.42,5.18,5.39,4.95,5.21
04/25/2024,5.28,5.38,5.28,5.40,5.26,5.40,5.26,5.43,5.18,5.39,4.95,5.21
04/24/2024,5.28,5.37,5.27,5.39,5.26,5.40,5.24,5.41,5.17,5.38,4.91,5.17
04/23/2024,5.29,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.89,5.15
04/22/2024,5.28,5.38,5.28,5.40,5.22,5.36,5.24,5.41,5.16,5.37,4.91,5.17
04/19/2024,5.28,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.17,5.38,4.91,5.17
04/18/2024,5.28,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.92,5.18
04/17/2024,5.29,5.38,5.27,5.39,5.25,5.39,5.24,5.41,5.15,5.36,4.90,5.16
04/16/2024,5.29,5.38,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.92,5.18
04/15/2024,5.29,5.39,5.28,5.40,5.25,5.39,5.24,5.41,5.16,5.37,4.93,5.18
04/12/2024,5.28,5.38,5.27,5.39,5.25,5.39,5.22,5.39,5.14,5.35,4.90,5.15
04/11/2024,5.28,5.38,5.27,5.39,5.25,5.39,5.23,5.40,5.16,5.37,4.93,5.18
04/10/2024,5.28,5.37,5.28,5.40,5.25,5.39,5.24,5.41,5.17,5.38,4.95,5.20
04/09/2024,5.27,5.36,5.27,5.39,5.23,5.37,5.21,5.37,5.11,5.32,4.81,5.05
04/08/2024,5.27,5.37,5.27,5.39,5.23,5.37,5.22,5.39,5.12,5.33,4.84,5.09
04/05/2024,5.27,5.37,5.27,5.39,5.23,5.37,5.21,5.37,5.12,5.33,4.82,5.06
04/04/2024,5.26,5.35,5.26,5.38,5.21,5.35,5.20,5.36,5.10,5.31,4.78,5.02
04/03/2024,5.27,5.36,5.24,5.35,5.22,5.36,5.20,5.36,5.11,5.32,4.80,5.04
04/02/2024,5.29,5.38,5.25,5.37,5.22,5.36,5.20,5.36,5.11,5.32,4.82,5.07
04/01/2024,5.29,5.39,5.27,5.39,5.23,5.37,5.21,5.37,5.13,5.34,4.83,5.08
03/28/2024,5.29,5.39,5.28,5.40,5.23,5.37,5.22,5.39,5.13,5.34,4.79,5.03
03/27/2024,5.27,5.36,5.27,5.39,5.22,5.36,5.21,5.37,5.11,5.32,4.75,4.99
03/26/2024,5.27,5.36,5.27,5.39,5.22,5.36,5.21,5.37,5.11,5.32,4.76,5.00
03/25/2024,5.28,5.38,5.28,5.40,5.23,5.37,5.22,5.39,5.11,5.32,4.76,5.01
03/22/2024,5.27,5.37,5.27,5.39,5.24,5.38,5.20,5.36,5.10,5.30,4.73,4.97
03/21/2024,5.27,5.37,5.28,5.40,5.25,5.39,5.20,5.36,5.11,5.32,4.76,5.01
03/20/2024,5.27,5.36,5.27,5.39,5.24,5.38,5.21,5.37,5.11,5.32,4.76,5.01
03/19/2024,5.29,5.38,5.28,5.40,5.24,5.38,5.21,5.37,5.14,5.35,4.81,5.06
03/18/2024,5.29,5.39,5.28,5.40,5.25,5.39,5.22,5.39,5.13,5.34,4.83,5.08
03/15/2024,5.29,5.39,5.27,5.39,5.25,5.39,5.21,5.37,5.13,5.34,4.82,5.07
03/14/2024,5.29,5.39,5.28,5.40,5.25,5.39,5.21,5.37,5.13,5.34,4.81,5.06
03/13/2024,5.29,5.38,5.27,5.39,5.25,5.39,5.21,5.37,5.12,5.33,4.78,5.03
03/12/2024,5.29,5.38,5.28,5.40,5.25,5.39,5.21,5.37,5.12,5.33,4.77,5.02
03/11/2024,5.27,5.37,5.27,5.39,5.24,5.38,5.21,5.37,5.10,5.31,4.72,4.97
03/08/2024,5.28,5.38,5.28,5.40,5.24,5.38,5.20,5.36,5.10,5.30,4.69,4.94
03/07/2024,5.28,5.38,5.28,5.40,5.24,5.38,5.20,5.36,5.09,5.30,4.70,4.95
03/06/2024,5.27,5.36,5.27,5.39,5.24,5.38,5.20,5.36,5.10,5.31,4.72,4.97
03/05/2024,5.27,5.36,5.27,5.39,5.23,5.37,5.21,5.37,5.10,5.31,4.71,4.96
03/04/2024,5.28,5.38,5.28,5.40,5.24,5.38,5.22,5.39,5.11,5.32,4.74,4.99
03/01/2024,5.30,5.40,5.29,5.41,5.23,5.37,5.21,5.37,5.09,5.29,4.70,4.95
02/29/2024,5.30,5.40,5.29,5.41,5.25,5.39,5.23,5.40,5.11,5.32,4.76,5.02
02/28/2024,5.29,5.40,5.29,5.42,5.24,5.38,5.22,5.39,5.11,5.32,4.75,5.01
02/27/2024,5.30,5.41,5.29,5.42,5.25,5.39,5.24,5.42,5.13,5.34,4.78,5.04
02/26/2024,5.29,5.40,5.29,5.42,5.26,5.40,5.24,5.42,5.14,5.35,4.77,5.03
02/23/2024,5.29,5.40,5.28,5.41,5.26,5.42,5.23,5.41,5.13,5.35,4.74,5.00
02/22/2024,5.28,5.39,5.28,5.41,5.25,5.41,5.21,5.39,5.13,5.35,4.75,5.01
02/21/2024,5.29,5.40,5.27,5.40,5.24,5.40,5.22,5.40,5.12,5.34,4.72,4.98
02/20/2024,5.29,5.40,5.26,5.39,5.24,5.40,5.22,5.40,5.12,5.34,4.71,4.97
02/16/2024,5.28,5.39,5.27,5.40,5.24,5.39,5.22,5.40,5.12,5.34,4.75,5.00
02/15/2024,5.28,5.39,5.27,5.40,5.23,5.39,5.21,5.39,5.11,5.33,4.71,4.96
02/14/2024,5.28,5.39,5.28,5.41,5.23,5.39,5.22,5.40,5.11,5.33,4.72,4.97
02/13/2024,5.27,5.38,5.29,5.42,5.25,5.41,5.23,5.41,5.12,5.34,4.76,5.01
02/12/2024,5.28,5.39,5.28,5.41,5.23,5.39,5.20,5.38,5.07,5.29,4.65,4.89
02/09/2024,5.28,5.39,5.27,5.40,5.24,5.40,5.20,5.38,5.07,5.29,4.63,4.87
02/08/2024,5.28,5.39,5.27,5.40,5.23,5.39,5.19,5.37,5.05,5.27,4.61,4.85
02/07/2024,5.26,5.37,5.27,5.40,5.23,5.39,5.17,5.35,5.04,5.26,4.61,4.85
02/06/2024,5.27,5.38,5.28,5.41,5.23,5.39,5.19,5.37,5.04,5.26,4.60,4.84
02/05/2024,5.28,5.39,5.27,5.40,5.22,5.38,5.19,5.37,5.05,5.27,4.64,4.88
02/02/2024,5.28,5.39,5.27,5.40,5.23,5.39,5.19,5.37,5.03,5.24,4.58,4.82
02/01/2024,5.28,5.39,5.28,5.41,5.22,5.38,5.15,5.33,4.97,5.18,4.46,4.69
01/31/2024,5.27,5.38,5.27,5.40,5.22,5.38,5.17,5.35,5.00,5.22,4.50,4.73
01/30/2024,5.27,5.38,5.27,5.40,5.21,5.37,5.19,5.37,5.00,5.22,4.56,4.80
01/29/2024,5.27,5.38,5.27,5.40,5.22,5.38,5.18,5.36,4.99,5.20,4.53,4.77
01/26/2024,5.27,5.38,5.25,5.38,5.21,5.36,5.18,5.36,5.01,5.22,4.54,4.78
01/25/2024,5.28,5.39,5.28,5.41,5.21,5.37,5.18,5.36,5.00,5.21,4.52,4.76
01/24/2024,5.27,5.38,5.25,5.38,5.21,5.37,5.19,5.37,5.03,5.25,4.58,4.82
01/23/2024,5.28,5.39,5.26,5.39,5.21,5.37,5.19,5.37,5.02,5.24,4.57,4.81
01/22/2024,5.27,5.38,5.27,5.40,5.22,5.38,5.19,5.37,5.02,5.24,4.63,4.87
01/19/2024,5.28,5.39,5.27,5.40,5.22,5.37,5.19,5.37,5.03,5.24,4.64,4.88
01/18/2024,5.26,5.37,5.28,5.41,5.22,5.38,5.18,5.36,5.01,5.23,4.60,4.84
01/17/2024,5.29,5.40,5.27,5.40,5.24,5.40,5.19,5.37,5.01,5.23,4.59,4.83
01/16/2024,5.29,5.40,5.28,5.41,5.22,5.38,5.18,5.36,4.99,5.20,4.51,4.74
01/12/2024,5.28,5.39,5.27,5.40,5.22,5.37,5.17,5.35,4.98,5.19,4.45,4.67
01/11/2024,5.28,5.39,5.27,5.40,5.23,5.39,5.18,5.36,5.03,5.25,4.54,4.77
01/10/2024,5.27,5.38,5.26,5.39,5.23,5.39,5.19,5.37,5.04,5.26,4.60,4.84
01/09/2024,5.28,5.39,5.26,5.39,5.24,5.40,5.19,5.37,5.04,5.26,4.60,4.84
01/08/2024,5.28,5.39,5.28,5.41,5.25,5.41,5.19,5.37,5.04,5.26,4.59,4.83
01/05/2024,5.28,5.39,5.27,5.40,5.24,5.40,5.20,5.38,5.05,5.27,4.61,4.85
01/04/2024,5.29,5.40,5.28,5.41,5.24,5.40,5.21,5.39,5.06,5.28,4.61,4.85
01/03/2024,5.27,5.38,5.28,5.41,5.24,5.40,5.21,5.39,5.06,5.28,4.58,4.82
01/02/2024,5.28,5.39,5.28,5.41,5.22,5.38,5.21,5.39,5.04,5.26,4.57,4.81
